v_x,v_y,omega,delta
1.531736850738525391e+00,1.029733940958976746e-01,-8.616769313812255859e-01,1.376320123672485352e-01
1.529954195022583008e+00,1.030703783035278320e-01,-7.547097802162170410e-01,1.385662704706192017e-01
1.531966209411621094e+00,1.034246012568473816e-01,-8.059292435646057129e-01,1.391194909811019897e-01
1.533962249755859375e+00,1.056025177240371704e-01,-7.222487330436706543e-01,1.396464556455612183e-01
1.535660147666931152e+00,1.049458980560302734e-01,-7.141194343566894531e-01,1.383417248725891113e-01
1.535941481590270996e+00,1.050278767943382263e-01,-7.671551108360290527e-01,1.386532485485076904e-01
1.536474347114562988e+00,1.053476557135581970e-01,-8.829206228256225586e-01,1.389672756195068359e-01
1.535113811492919922e+00,1.062970608472824097e-01,-8.095384836196899414e-01,1.394706219434738159e-01
1.535313487052917480e+00,1.058249026536941528e-01,-8.125207424163818359e-01,1.398352384567260742e-01
1.539914727210998535e+00,1.075598821043968201e-01,-1.031453967094421387e+00,1.400865316390991211e-01
1.534865736961364746e+00,1.067636758089065552e-01,-7.982806563377380371e-01,1.409559845924377441e-01
1.537676692008972168e+00,1.058071404695510864e-01,-6.751756668090820312e-01,1.412552148103713989e-01
1.540554404258728027e+00,1.067456603050231934e-01,-8.227002024650573730e-01,1.412550806999206543e-01
1.535877108573913574e+00,1.060092449188232422e-01,-6.857507824897766113e-01,1.417081058025360107e-01
1.540154695510864258e+00,1.073541194200515747e-01,-8.455402255058288574e-01,1.402386873960494995e-01
1.549470305442810059e+00,1.056723296642303467e-01,-6.058245301246643066e-01,1.408387869596481323e-01
1.544596314430236816e+00,1.321462541818618774e-01,-5.949117541313171387e-01,1.760136336088180542e-01
1.542493104934692383e+00,1.334306001663208008e-01,-5.316076278686523438e-01,1.793310493230819702e-01
1.542637348175048828e+00,1.360770314931869507e-01,-7.189029455184936523e-01,1.803881824016571045e-01
1.538505196571350098e+00,1.343035846948623657e-01,-4.878436326980590820e-01,1.804446429014205933e-01
1.544075012207031250e+00,1.348574310541152954e-01,-4.418057799339294434e-01,1.812112629413604736e-01
1.545403957366943359e+00,1.357261389493942261e-01,-5.740727782249450684e-01,1.817785799503326416e-01
1.544322252273559570e+00,1.387358456850051880e-01,-5.871736407279968262e-01,1.827009767293930054e-01
